02,Albacete,02001,ABENGIBRE,02001-ABENGIBRE
02,Albacete,02002,ALATOZ,02002-ALATOZ
02,Albacete,02004,ALBATANA,02004-ALBATANA
02,Albacete,02005,ALBOREA,02005-ALBOREA
02,Albacete,02006,ALCADOZO,02006-ALCADOZO
02,Albacete,02007,ALCALA DEL JUCAR,02007-ALCALA DEL JUCAR
02,Albacete,02008,ALCARAZ,02008-ALCARAZ
02,Albacete,02009,ALMANSA,02009-ALMANSA
02,Albacete,02010,ALPERA,02010-ALPERA
02,Albacete,02011,AYNA,02011-AYNA
02,Albacete,02012,BALAZOTE,02012-BALAZOTE
02,Albacete,02013,BALSA DE VES,02013-BALSA DE VES
02,Albacete,02014,EL BALLESTERO,02014-EL BALLESTERO
02,Albacete,02015,BARRAX,02015-BARRAX
02,Albacete,02016,BIENSERVIDA,02016-BIENSERVIDA
02,Albacete,02017,BOGARRA,02017-BOGARRA
02,Albacete,02018,BONETE,02018-BONETE
02,Albacete,02019,EL BONILLO,02019-EL BONILLO
02,Albacete,02020,CARCELEN,02020-CARCELEN
02,Albacete,02021,CASAS DE JUAN NUÑEZ,02021-CASAS DE JUAN NUÑEZ
02,Albacete,02022,CASAS DE LAZARO,02022-CASAS DE LAZARO
02,Albacete,02023,CASAS DE VES,02023-CASAS DE VES
02,Albacete,02024,CASAS IBAÑEZ,02024-CASAS IBAÑEZ
02,Albacete,02025,CAUDETE,02025-CAUDETE
02,Albacete,02026,CENIZATE,02026-CENIZATE
02,Albacete,02027,CORRAL-RUBIO,02027-CORRAL-RUBIO
02,Albacete,02028,COTILLAS,02028-COTILLAS
02,Albacete,02029,CHINCHILLA DE MONTE-ARAGON,02029-CHINCHILLA DE MONTE-ARAGON
02,Albacete,02030,ELCHE DE LA SIERRA,02030-ELCHE DE LA SIERRA
02,Albacete,02031,FEREZ,02031-FEREZ
02,Albacete,02032,FUENSANTA,02032-FUENSANTA
02,Albacete,02033,FUENTE-ALAMO,02033-FUENTE-ALAMO
02,Albacete,02034,FUENTEALBILLA,02034-FUENTEALBILLA
02,Albacete,02035,LA GINETA,02035-LA GINETA
02,Albacete,02036,GOLOSALVO,02036-GOLOSALVO
02,Albacete,02037,HELLIN,02037-HELLIN
02,Albacete,02038,LA HERRERA,02038-LA HERRERA
02,Albacete,02039,HIGUERUELA,02039-HIGUERUELA
02,Albacete,02040,HOYA-GONZALO,02040-HOYA-GONZALO
02,Albacete,02041,JORQUERA,02041-JORQUERA
02,Albacete,02042,LETUR,02042-LETUR
02,Albacete,02043,LEZUZA,02043-LEZUZA
02,Albacete,02044,LIETOR,02044-LIETOR
02,Albacete,02045,MADRIGUERAS,02045-MADRIGUERAS
02,Albacete,02046,MAHORA,02046-MAHORA
02,Albacete,02047,MASEGOSO,02047-MASEGOSO
02,Albacete,02048,MINAYA,02048-MINAYA
02,Albacete,02049,MOLINICOS,02049-MOLINICOS
02,Albacete,02050,MONTALVOS,02050-MONTALVOS
